ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B09RJKCGPY,Canon,185431.1,62.54,1,2965,0.686,"Canon PG-275 XL / CL-276 XL Genuine Ink Value Pack (2 Cartridges), Compatible with TS3520/3522/4722/3720/3722, TR4720",2000,4.7,2364,63,Amazon,3.9,9.46,1,660685237391,660685237391,4981C008
B07C2Z21X5,Canon,1050954,474.9,4,2213,0.635,Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos,2000,4.7,4904,479,Cardinal Camera and Video Center (89% A3QMB73HIIXCC4),6.32,38.32,3,13803302721,13803302721,2727C002
B08XZQ4ZSN,Canon,80253.6,20.4,1,3934,1,"Canon CL-276 Genuine Color Ink Cartridge, Compatible with TS3520/3522, TR4720/4722, TS3720/3722",2000,4.7,2556,21,Amazon,3.68,3.15,1,13803339383,13803339383,4988C001
B07W69W11Z,Canon,61697.44,34.72,2,1777,0.978,"Canon PG-260 XL Genuine Black Ink Cartridge, Compatible with TS5320/6420/6420a,TR7020/7020a",2000,4.7,3305,35,Amazon,4.15,5.25,1,13803319309,13803319309,3706C001
B074TR3F41,Canon,49917.75,16.95,4,2945,1,"Canon PGI-280 Genuine Pigment Black Ink Tank, Compatible with TR8520, TS9120,TS8120, TS6120, TS9521C/a, TS9520/a, TS8220, TS6220, TS8320, TS6320, TS702/a, and TR8620/a Series Printers",2000,4.7,2984,17,Amazon,3.68,2.55,2,13803287790,13803287790,2075C001
B0BGM5WRQ1,Canon,105510.3,95.14,3,1109,1,"Canon Ivy 2 Mini Photo Printer, Print from Compatible iOS & Android Devices, Sticky-Back Prints, Pure White",2000,4.6,3420,79,Amazon,4.26,6.32,2,13803347821,13803347821,5452C018
B00AH9JVLS,Canon,54569.46,19.58,7,2787,1,"Canon PGI-250XL Genuine Pigment Black Ink Tank, Compatible with MG6320, IP7220 & MG5420, MX922, MG5520, MG6420, MG7120, iX6820, iP8720, MG7520, MG6620, and MG5620 Printers",2000,4.7,5682,19,CHRISSTIM LLC (98% A3V4OCSA8WUFLA),3.68,2.85,5,13803151343,13803151343,6432B011
B00HQE9NM4,Canon,92736,33.12,4,2800,1,"Canon RP-108 Color Ink/Paper Set, Compatible with Selphy CP910/CP820/CP1200/CP1300/CP1500",2000,4.7,17733,30.8,Amazon,5.37,4.62,3,"012304069942, 012306094096, 013803221756, 014445553069, 014445724407, 080175031160, 638370180475, 801593124179, 804993387175","0012304069942, 0012306094096, 0013803221756, 0014445553069, 0014445724407, 0080175031160, 0638370180475, 0801593124179, 0804993387175, 4960999980034, 7898576033552",RP-108
B00T3ESRTU,Canon,164023.2,59.95,1,2736,1,Canon Battery Pack LP-E17,2000,4.8,5701,59.95,Amazon,3.79,8.99,1,13803247831,4549292020984,9967B002
B0D9KPXFJ5,Canon,172062,79,2,2178,1,Canon Battery Pack LP-E6P,2000,4.8,159,79,Amazon,3.79,11.85,2,13803375428,13803375428,6537C001
B079Y6FHKJ,Canon,217494.6,55.54,1,3916,0.805,"Canon PG-245 XL / CL-246 XL Genuine Ink Value Pack (2 Cartridges), Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",2000,4.7,15395,59.69,MISAF (26% AC49B4JYANMWZ),3.9,8.95,1,660685202184,660685202184,8278B023
B074TQR73H,Canon,100725.8,35.82,2,2812,1,"Canon PGI-280XXL Genuine Pigment Black Ink Tank, Compatible with TR8520, TS9120,TS8120, TS6120, TS9521C/a, TS9520/a, TS8220, TS6220, TS8320, TS6320, TS702/a, and TR8620/a Series Printers",2000,4.7,2894,37,Amazon,3.68,5.55,1,"823887446804, 013803287264, 809393886808, 115971615747","0809393886808, 0115971615747, 0823887446804, 0013803287264",1967C001
B0101SHTSG,Canon,112947.5,42.35,5,2667,1,"Canon CLI-281 Black, Cyan, Magenta and Yellow 4 Ink Pack, Compatible to TR8520, TR8620 Series, TS9120, and TS6210 Printers",2000,4.6,4572,42.95,Amazon,3.9,6.44,5,660685174269,660685174269,2091C005
B0BSMZVH26,Canon,1011460,349.02,1,2898,0.951,"Canon Color imageCLASS MF656Cdw - Wireless Duplex Laser Printer, All-in-One with Copier, Scanner, Fax, Auto Document Feeder, Mobile Ready, 3 Year Limited Warranty, 22 PPM, White",2000,4.1,3803,422.09,SpaceBound (96% A1XBPHGHAXLHDG),59.31,33.77,1,13803342000,13803342000,5158C002
B0BSMQTVBW,Canon,646344,423,1,1528,0.978,"Canon Color imageCLASS MF753Cdw - Wireless Duplex Laser Printer, All-In-One with Scanner, Copier, Fax, Auto Document Feeder, Mobile Ready, 3 Year Limited Warranty, 35 PPM, White",1000,4,1578,429.99,Amazon,53.62,34.4,1,13803345162,13803345162,5455C010
B005VC8CG6,Canon,65891.2,37.76,9,1745,1,"Canon CL-241 XL Genuine Color Ink Cartridge, Compatible with MG2120/3120/4120, MX512/432/472/372/392/522/532/452, MG2220/3220/4220/3520/3620, TS5120",1000,4.7,7754,38,Amazon,4.55,5.7,3,13803134971,13803134971,CNMCL241XL
B01M1DENVU,Canon,43709.78,23.99,2,1822,1,"CanonInk Photo Paper Plus Glossy II 4"" x 6"" 400 Sheets (1432C007)",1000,4.8,15564,23.99,Amazon,7.24,3.6,1,13803277272,13803277272,1432C007
B09TG8F4YS,Canon,177896.3,112.95,1,1575,1,"Canon PIXMA TS702a Wireless Single Function Printer |Mobile Printing with AirPrint®, and Mopria®, Black",1000,4.2,905,99.99,Amazon,15.89,8,1,13803348118,13803348118,3109C022
B0101S7NIC,Canon,67222,57.95,2,1160,1,"Canon PGI-280/CLI-281 Genuine Combo Pack, Compatible with TR8520, TS9120,TS8120, TS6120, TS9521C/a, TS9520/a, TS8220, TS6220, TS8320, TS6320, TS702/a, and TR8620/a Series Printers",1000,4.7,2389,58,Amazon,3.9,8.7,2,660685197756,660685197756,2075C006
B00AH9JVJ0,Canon,16667.19,16.99,1,981,1,"Canon PGI-250 Genuine Pigment Black Ink Tank, Compatible with MG6320, IP7220 & MG5420, MX922, MG5520, MG6420, MG7120, iX6820, iP8720, MG7520, MG6620, and MG5620 Printers",1000,4.7,5878,17,Amazon,3.68,2.55,1,"768202201051, 077344691584, 013803151428, 803982868367","0013803151428, 0077344691584, 0768202201051, 0803982868367",6497B001
B00NV9LHIG,Canon,76211.66,40.93,4,1862,1,"Canon MAXIFY PGI-1200 3Color Multi Pack Ink Compatible to MB2120, MB2720, B2020, MB2320, Cyan, Magenta, Yellow",1000,4.6,2885,42,Amazon,4.15,6.3,4,660685129757,"6768141768671, 0660685129757, 4923133132928",9183B005
B00MBH9J3E,Canon,63095.8,40.55,2,1556,1,"Canon CLI-251 Genuine Three Color Multi Pack, Compatible with MG6320, iP7220 & MG5420, MX922, MG7120, MG6420, MG5520, iX6820, iP8720, MG7520, MG6620, and MG5620 (Optional) Printers",1000,4.7,3274,39.1,WittInc (94% A1UBVP302O9Z0V),3.9,5.87,3,660685130814,660685130814,CLI251C
B0089INHUU,Canon,41602.18,20.99,1,1982,1,"Canon LU-101 LTR(50) Luster Photo Paper Letter, 50 Sheets (LU-101 LTR)",1000,4.8,3285,20.99,Amazon,5.66,3.15,1,"804993385676, 013803146851","0013803146851, 0804993385676",LU-101 LTR(50)
B00TRDOYLW,Canon,83119.3,45.1,1,1843,0.81,"Canon PG-245 / CL-246 Genuine Ink Value Pack (2 Cartridges), Compatible with iP2820, MG2420/2924/2920/3020/2522/2525, MX492, TS3120/302/302a/202/202a/4520/3320",1000,4.7,13070,45,Amazon,3.9,6.75,1,660685202191,660685202191,8281B007
B07W3QCS6Z,Canon,62648.01,32.99,4,1899,0.945,"CanonCL-261 XL Genuine Color Ink Cartridge, Compatible with TS5320/6420/6420a,TR7020/7020a",1000,4.7,2650,33,Amazon,4.15,4.95,1,13803319439,13803319439,3724C001
