Supplier Name,Product Name,Brand,MPN,EAN,Supplier stock,Supplier Cost,,,,,,,,
Nektova,"Apple iPad Air 11"" M3 chip Built for Apple Intelligence Wi-Fi 512GB - Space Gray",Apple,MCA74LL/A,1.9595E+11,87,$799.00 ,,,,,,,,
Nektova,"Apple iPad Air 11"" M3 chip Built for Apple Intelligence Wi-Fi 512GB - Starlight",Apple,MCAA4LL/A,1.9595E+11,100,$799.00 ,,,,,,,,
Nektova,Apple iPad mini (A17 Pro chip) - Wi-Fi 128GB - Purple,Apple,MXN93LL/A,1.9595E+11,14,$399.00 ,,,,,,,,
Nektova,Apple iPad mini (A17 Pro chip) - Wi-Fi 128GB - Starlight,Apple,MXN83LL/A,1.9595E+11,17,$405.00 ,,,,,,,,
Nektova,Apple iPad Mini 6 - 256GB WiFi (2021) - Space Gray,Apple,MK7T3LL/A,1.94253E+11,44,$490.00 ,,,,,,,,
Nektova,Apple iPad Mini 6 - 256GB WiFi (2021) - Starlight,Apple,MK7V3LL/A,1.94253E+11,71,$490.00 ,,,,,,,,
Nektova,Apple iPad mini 7 (A17 Pro chip) -  Wi-Fi 256GB - Space Gray,Apple,MXNA3LL/A,1.9595E+11,65,$495.00 ,,,,,,,,
Nektova,Apple iPad mini 7 (A17 Pro chip) - Wi-Fi 256GB - Blue,Apple,MXNC3LL/A,1.9595E+11,133,$495.00 ,,,,,,,,
Nektova,Apple iPad mini 7 (A17 Pro chip) - Wi-Fi 256GB - Purple,Apple,MXNE3LL/A,1.9595E+11,143,$495.00 ,,,,,,,,
Nektova,Apple iPad Mini 7 (A17 Pro Chip) - Wi-Fi 512GB - Blue,Apple,MYH13LL/A,1.9595E+11,16,$690.00 ,,,,,,,,
Nektova,Apple iPad Mini 7 (A17 Pro Chip) - Wi-Fi 512GB - Purple,Apple,MYH33LL/A,1.9595E+11,18,$690.00 ,,,,,,,,
Nektova,Apple iPad Mini 7 (A17 Pro Chip) - Wi-Fi 512GB - Space Grey,Apple,MYGY3LL/A,1.9595E+11,13,$690.00 ,,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Midnight,Apple,MW123LL/A,1.9595E+11,162,$870.00 ,,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Sky Blue,Apple,MC6T4LL/A,1.9595E+11,91,$859.00 ,,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Starlight,Apple,MW0Y3LL/A,1.9595E+11,136,$859.00 ,,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Midnight,Apple,MW133LL/A,1.9595E+11,22,"$1,080.00 ",,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 24GB Memory - 512GB SSD - Midnight,Apple,MC6C4LL/A,1.9595E+11,110,"$1,270.00 ",,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 24GB Memory - 512GB SSD - Silver,Apple,MC654LL/A,1.9595E+11,38,"$1,270.00 ",,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 24GB Memory - 512GB SSD - Sky Blue,Apple,MC6V4LL/A,1.9595E+11,114,"$1,270.00 ",,,,,,,,
Nektova,Apple MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 24GB Memory - 512GB SSD - Starlight,Apple,MC6A4LL/A,1.9595E+11,14,"$1,270.00 ",,,,,,,,
Nektova,"Apple MacBook Air 13.3"" - Apple M1 chip - 8GB Memory - 256GB SSD (Latest Model) - Gold",Apple,MGND3LL/A,1.94252E+11,119,$609.00 ,,,,,,,,
Nektova,"Apple MacBook Air 13.3"" - Apple M1 chip - 8GB Memory - 256GB SSD (Latest Model) - Silver",Apple,MGN93LL/A,1.94252E+11,11,$609.00 ,,,,,,,,
Nektova,Apple MacBook Air 15-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Midnight,Apple,MW1L3LL/A,1.9595E+11,90,"$1,080.00 ",,,,,,,,
Nektova,Apple MacBook Air 15-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Silver,Apple,MW1G3LL/A,1.9595E+11,129,"$1,070.00 ",,,,,,,,
Nektova,Apple MacBook Air 15-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Sky Blue,Apple,MC7A4LL/A,1.9595E+11,23,"$1,080.00 ",,,,,,,,
Nektova,Apple MacBook Air 15-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Starlight,Apple,MW1J3LL/A,1.9595E+11,80,"$1,080.00 ",,,,,,,,
Nektova,Apple MacBook Air 15-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Starlight,Apple,MW1K3LL/A,1.9595E+11,53,"$1,270.00 ",,,,,,,,
Nektova,"Apple Macbook Pro 14"" (2024) - Apple M4 Chip - 10-core - 16GB Memory - 512GB SSD - Space Grey",Apple,MW2U3LL/A,1.9595E+11,31,"$1,380.00 ",,,,,,,,
Nektova,Apple MacBook Pro 14-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Silver,Apple,MW2W3LL/A,1.9595E+11,22,"$1,400.00 ",,,,,,,,
Nektova,Apple Pencil - USB C,Apple,MUWA3AM/A,1.95949E+11,56,$72.00 ,,,,,,,,
