Supplier Name,Brand,MPN,Product name,Supplier stock,Supplier Cost
Rutronik,2J,2J3415M-433-150RG174-C20N,Magnetic Mount Ant 433MHz SMA/m,0,8.56
Rutronik,2J,2J3524M-250LL100-C20NST,MAGNETIC M Ant 2J3524MP SMA/m,0,5.37
Rutronik,2J,2J3524MP-100LL100-C20NST,MAGNETIC M Ant 2J3524MP SMA/m,0,7.38
Rutronik,2J,2J3702M-150RG174-C20N,"Magnetic Mount Ant 2,4GHz SMA/m",0,5.49
Rutronik,2J,2J3702M-2.4-100LL100-C109NST,Magnetic ISM Ant. LL100 SMA/m RA NI,0,4
Rutronik,2J,2J3702M-2.4-300LL100-C20NST,"Magnetic Mount Ant 2,4GHz SMA/m",0,4.68
Rutronik,2J,2J3704M-070RG174-C20N,"Magnetic Ant.2J3704M, SMA/M",0,3.37
Rutronik,2J,2J3704M-1000LL100-C51NST,Cellular Low Profile Mag. Ant.,0,8.25
Rutronik,2J,2J3704M-100RG174-C20N,Magnetic ant. Penta band SMA/m,0,3.18
Rutronik,2J,2J3704M-125RG174-C20N,Magnetic ant. Penta band SMA/m,0,5.09
Rutronik,2J,2J3704M-250RG174-C04N,Magnetic ant. Penta band FME/f,0,5.38
Rutronik,2J,2J3704M-250RG174-C113N,Magnetic ant. Penta band FME/f,0,3.55
Rutronik,2J,2J3704M-300RG174-C43N,"Magnetic ant.2J3704M, MCX/M R/A",0,4.91
Rutronik,2J,2J3704M-300RG174-C95N,MAGNETIC ANT.PENTA BAND FAKRA C,0,3.55
Rutronik,2J,2J3704M-300RG174-C96N,MAGNETIC ANT.PENTA BAND FAKRA D,0,3.55
Rutronik,2J,2J3704M-500LL100-C43GST,Magnetic 2J3704M MCX/M R/A Gold,0,11.25
Rutronik,2J,2J3704M-500RG174-C43G,"Magnetic Ant.2J3704M, MCX/M R/A",0,8.28
Rutronik,2J,2J3704M-600LL100-C20NST,MAGNETIC ANT.PENTA BAND SMA/m,0,6.13
Rutronik,2J,2J3704MP-050RG174-C109N,Magnetic ant 2J3704MP SMA/M R/A,0,3.1
Rutronik,2J,2J3715M-868-300LL100-C20NST,2J3715M ISM Mag.Mount 3m LL100 SMA/m NI,0,5.69
Rutronik,2J,2J3915M-868-300RG174-C20N,Magnetic Mount Ant 868MHz SMA/m,0,7.89
Rutronik,2J,2J3915M-915-300RG174-C20N,Magnetic Mount Ant 915MHz SMA/m,0,7.89
Rutronik,2J,2J3924M-065LL100-C20NST,MAGNETIC Ant. 2J3924M SMA/m,0,4.62
Rutronik,2J,2J401GF-010MC113-U.FL,2J401GF Active GPS/Glonass U.FL,0,7.89
Rutronik,2J,2J402S-010RG174-C44N,Active GPS ant. internal MMCX/m,0,7.68
Rutronik,2J,2J402S-030RG174-C44N,Active GPS ant. internal MMCX/m,0,5.18
Rutronik,2J,2J4040S-005MC113-UFL,2J4040S Active GPS/Glonass ant.,0,5.89
Rutronik,2J,2J405S-010/081-GSC,2J405S Active GPS antenna GSC,0,9.51
Rutronik,2J,2J405S-010/113-U.FL,2J405S Active GPS antenna U.FL,0,7.89
Rutronik,2J,2J409S-010MC113-UFL,Passive GPS ant. internal U.FL,0,5.89
Rutronik,2J,2J4241PGF-030MC137-UFL-UFL,LTE+GNSS Compact Size Ant.,0,12.33
