ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,UPC,Part Number,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B01MY78923,Garmin,15434.72,1929.34,1,8,0.665,753759142254,010-01741-00,Garmin 010-01741-00 GPSMAP 1222 with Worldwide Basemap,,5,6,1780.67,KART IT (90% A14RGF7JMHGJUF),4.15,142.45,1,"0753759168339, 0753759142254","753759142254, 753759168339",010-01741-00
B093J7XLHR,Garmin,,,,Not in SS,,,,"Garmin Quick Release 20 Watch Band, White Silicone with Polished Silver Hardware, (010-13114-01)",,4,7,39.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),3.68,6.4,1,"0753759280871, 0753759274726","753759274726, 753759280871",010-13114-01
B0F1BWP6MN,Garmin,240,120,1,2,0,724129144987,010-01769-00,"Garmin Smartwatch Vivoactive 3 1,2in GPS Waterproof 5 ATM Glonass Black Stainless Steel (Renewed Premium)",,,,129.99,Escape To Nature (100% AJ8MVEQQ9DH2X),5.48,10.4,0,0724129144987,724129144987,010-01769-00
B005JPJQ8I,Garmin,,,,Not in SS,,,,Garmin BlueChart® g3 Vision® HD - VUS513L - Jacksonville - Bahamas - microSD™/SD™,,4,26,421.43,The Factory Depot (93% A29PHU0KPCGV8S),3.06,33.71,0,0753759069223,753759069223,010-C0742-00
B09LHJ6PFM,Garmin,,,,Not in SS,,,,"Garmin 010-02313-00 dezl OTR700 7"" GPS Truck Navigator Bundle with Premium 2YR CPS Enhanced Protection Pack",,4.7,18,464.48,TipTopDeals (93% A3UG6WCL65FYTA),5.1,37.16,0,0840133997101,840133997101,E99GRDEZLOTR700
B08X2RTQRJ,Garmin,,,,Not in SS,,,,Garmin eTrex 32x Handheld GPS Navigator Bundle with Backpack Tether Accessory,,4.2,557,287.98,Amazon,,,1,,,
B096N3BLYY,Garmin,1718.9,171.89,1,10,0,840133971040,E1GRFR55WT,Garmin Forerunner 55 GPS Running Watch (White) | Official USA Partner Model | Bundle with 2-Pack Screen Protector Bundle,,4.6,11,209.99,Beach Camera Same Day Shipping (96% A13BNE3P7C8THK),4.26,23.79,0,0840133971040,840133971040,E1GRFR55WT
B078H244WN,Garmin,,,,Not in SS,,,,"Garmin Forerunner 645 Music, GPS Running Watch With Pay Contactless Payments, Wrist-Based Heart Rate And Music, Black",,4.5,1417,314.99,Bicycle Addiction (99% AMY4I718ZUBOU),4.66,25.2,1,0753759185114,753759185114,010-01863-20
B0B5YK21HB,Garmin,2831.28,353.91,1,8,0,656942879787,010-02638-10-cr,"Garmin Forerunner® 955, GPS Running Smartwatch, Tailored to Triathletes, Long-Lasting Battery, Black (Renewed)",,3.8,26,319.3,Better Solution Store (86% A3OASZJBKOAT24),4.26,25.54,0,0656942879787,656942879787,010-02638-10-cr
B0B3NGTJGM,Garmin,669.96,37.22,1,18,1,753759298241,010-11251-3C,"Garmin Quick Release Band, Grey, 22mm",,3.8,8,36.1,Amazon,3.06,5.78,1,0753759298241,753759298241,010-11251-3C
B0F3KND1H6,Garmin,5749.5,574.95,0,10,0,094148711737,010-02911-00-AG2-1,"Garmin Varia Vue Headlight Bicycle Camera 4K Video Recording, 600-Lumen Smart Bike Light, Auto Brightness, Incident Detection, Long Battery Life, Wi-Fi Backup & Edge Compatibility Bundle",,,,574.95,6ave (97% ALAQLAKJ574UN),7.08,46,0,0094148711737,094148711737,010-02911-00-AG2-1
B06XFYD14R,Garmin,399.98,199.99,1,2,1,753759175078,010-01790-00,"Garmin RV-FS402W, Fusion, 4"" Component Flat Speaker, White (010-01790-00)",,4.5,10,199.99,Amazon,10.95,16,1,0753759175078,753759175078,010-01790-00
B0CWLG8154,Garmin,0,309.99,1,0,0,196641131293,,Garmin 010-02839-03 Lily 2 Classic Dark Bronze with Mulberry Leather Band Smartwatch | Official USA Partner Model | Bundle with 2 YR CPS Enhanced Protection Pack,,4.2,14,259.99,Beach Camera Same Day Shipping (96% A13BNE3P7C8THK),3.79,20.8,0,0196641131293,196641131293,
B099X8RSWN,Garmin,422.7,422.7,3,1,1,753759280888,010-02496-00,"Garmin Venu 2 Plus, GPS Smartwatch with Call and Text, Advanced Health Monitoring and Fitness Features, Silver with Gray Band",,4.4,830,449.99,Amazon,4.01,36,1,0753759280888,753759280888,010-02496-00
B0CJFQ8WZ6,Garmin,275.45,39.35,3,7,1,753759303396,010-13261-10,"Garmin Quick Release Band - Ultrafit Nylon Band, 20 mm",,4.4,27,39.9,Amazon,3.06,6.38,3,0753759303396,753759303396,010-13261-10
B07CR8D2DW,Garmin,0,392.79,0,0,0.019,753759186272,010-01879-01,"Garmin 010-01879-01 InReach Mini, Lightweight and Compact Satellite Communicator, Black, 1.27 inches",,4.6,2950,380.99,LNA Enterprises (86% A1WPN6YONVJ281),4.26,30.48,0,0753759186272,753759186272,010-01879-01
B094PXKFPL,Garmin,1399.93,199.99,1,7,0,656942017844,010-01682-03-cr,"Garmin 010-01682-03 DriveAssist 51 LMTHD 5"" Automotive GPS with Dash Cam (Renewed)",,,,199.99,Escape To Nature (100% AJ8MVEQQ9DH2X),5.1,16,1,0656942017844,656942017844,010-01682-03-cr
B07FFNKBLF,Garmin,170.8,170.8,2,1,0.627,753759216320,010-12462-10,"Garmin Small Ice Fishing Kit, 010-12462-10",,4.6,287,170.36,Prime Marine (93% A1GIKH3L785S8V),13.03,13.63,2,0753759216320,753759216320,010-12462-10
B082CZSSGJ,Garmin,,,,Not in SS,,,,"Garmin Fusion® FM Series Marine Speakers, 6.5"" 120-Watt Flush Mount Round White, A Brand",,3.9,4,130.63,Jarboys Outdoors & Marine Supplies -AUTHORIZED (97% A2NZNDWIGEAQV0),7.48,10.45,1,"0753759236625, 0753759268855","753759236625, 753759268855",010-02299-00
B0C9MX7C3M,Garmin,19799.94,3299.99,1,6,1,753759322748,010-02688-35,Garmin LiveScope™ Plus Ice Fishing Bundle LI with Garmin Navionics+ Maps for U.S. Inland,,3.8,15,3299.99,Amazon,21.5,264,1,0753759322748,753759322748,010-02688-35
B0CV8652C3,Garmin,46580.4,2451.6,1,19,0,753759325565,010-02882-00,Garmin ECHOMAP Ultra 2 12-Inch 126sv Chartplotter with Garmin Navionics Plus Mapping and LiveScope Live-Scanning Sonar (Black),,4.6,5,2699.99,SPEEDSTUFFSALES (93% AJWCEFXJVWC91),15.31,216,1,0753759325565,753759325565,010-02882-00
B0055OKHKE,Garmin,,,,Not in SS,,,,Garmin 010-11598-00 Rino 600 Series Vehicle Power Cable,,4.4,189,31.48,Less Is Always More ✱AUTHORIZED SELLER✱ (94% AL09J9CKIG9A),3.9,4.72,0,"0151903396698, 0088020782458, 0041218564397, 0071020226473, 0071020384951, 0050500111065, 0163120710164, 0611102192489, 0753759975432, 0885417297812, 0088021773493, 0041114602278, 0182682270411, 0885417297683, 0168141220289, 0971472756385, 0001910637775, 0001910643257, 0051020043263, 0741329004576, 0777786106041, 0012951559629, 0999996671373, 0711938997491, 6213127327866, 0021111111591, 0132017555478, 0154062322416, 0666672948493, 0971498960728, 0021113072487, 7608537637374, 0153981820157, 0115970748484","001910637775, 001910643257, 088021773493, 885417297683, 999996671373, 711938997491, 050500111065, 021113072487, 611102192489, 021111111591, 153981820157, 088020782458, 115970748484, 971498960728, 777786106041, 154062322416, 666672948493, 071020384951, 041218564397, 885417297812, 182682270411, 971472756385, 753759975432, 132017555478, 071020226473, 163120710164, 012951559629, 741329004576, 151903396698, 041114602278, 168141220289, 051020043263",010-11598-00
B09MTPKSCZ,Garmin,,,,Not in SS,,,,"Garmin Instinct 2 Solar, Rugged GPS Smartwatch, Built-in Sports Apps and Health Monitoring, Solar Charging and Ultratough Design Features, Graphite",,4.6,1135,289.99,STOCKYFY (99% AZL02BCKN4YR6),4.01,30.45,1,0753759278861,753759278861,010-02627-00
B0DK3XDC58,Garmin,,,,Not in SS,,,,Garmin Alpha 300i Handheld Advanced Dog Tracker & Training System with inReach Technology Bundle with 2X Garmin Dog Collars Alpha T20 Tracking Collar for Dogs with GPS + Charger and More Accessories,,,,1478.97,6ave (97% ALAQLAKJ574UN),8.2,125.27,0,0094148675121,094148675121,010-02807-50-AG2
B096136F1B,Garmin,,,,Not in SS,,,,"Garmin Venu 2S, Smaller-Sized GPS Smartwatch with Advanced Health Monitoring and Fitness Features, Rose Gold Bezel with White Case and Silicone Band, (010-02429-03) (Renewed)",,4.1,38,279.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.26,22.4,0,0656942070382,656942070382,010-02429-03-cr
B0DC717PG1,Garmin,,,,Not in SS,,,,"Garmin QuickFit, 20mm Whitestone Silicone Band",,,,49.99,Sports-and-Gadgets (97% AY1YC2BWA3QO7),4.15,8,3,0753759338879,753759338879,010-13391-01
B09RS2P9X8,Garmin,2195.52,548.88,2,4,1,753759283476,010-02250-60,"Garmin Fusion® MS-RA210 and XS Sports Speaker Kit, A Garmin Brand",,5,2,509.48,IPC-STORE✅ (94% A284PRV19Y1MTF),13.23,40.76,2,"0753759283476, 0753759294137","753759283476, 753759294137",010-02250-60
B07DPLCLG1,Garmin,4015.05,308.85,2,13,1,753759204877,010-01865-30,"Garmin GC 100 Wireless Camera, 010-01865-30",,2.7,28,314.99,Amazon,5.37,25.2,2,0753759204877,753759204877,010-01865-30
B07W6QTHM9,Garmin,17232.8,1325.6,1,13,0.608,753759254186,T2875.60,Garmin Tacx Neo 2T Smart Trainer,,4.6,432,1399.99,Brands Cycle and Fitness (98% A3CFE8KIJUOW5H),43.87,210,1,0753759254186,753759254186,T2875.60
B0CP66SKGR,Garmin,19999.9,1999.99,1,10,1,753759315160,010-02808-60,"Garmin TacX NEO 3M Smart Trainer, Multidirectional Movement, Realistic Ride Fee",,5,8,1999.99,Amazon,100.56,167,1,"0753759315184, 0753759315160","753759315184, 753759315160",010-02808-60
B07W69L5KK,Garmin,949.99,949.99,1,1,0.018,753759232634,010-02157-20,"Garmin fenix 6X Pro Solar, Premium Multisport GPS Watch with Solar Charging Capabilities, Features Mapping, Music, Grade-Adjusted Pace Guidance and Pulse Ox Sensors, Dark Gray with Black Band",,4.6,557,949.99,Escape To Nature (100% AJ8MVEQQ9DH2X),4.26,83.03,1,"0753759247409, 0753759232634","753759232634, 753759247409",010-02157-20
B09R6H9DWM,Garmin,312.41,44.63,1,7,1,753759278595,010-13117-05,Garmin QuickFit 26 Granite Blue Silicone Band,,4.6,35,49.99,Amazon,3.68,8,1,0753759278595,"753759278595, 753759297992",010-13117-05
