ASIN,Brand,Est. Monthly Revenue,Price,FBA Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Product name,Bought in past month,Reviews: Rating,Reviews: Review Count,Buy Box: Current,Buy Box Seller,FBA Fees:,Referral Fee based on current Buy Box price,"Count of retrieved live offers: New, FBA",Product Codes: EAN,Product Codes: UPC,Product Codes: PartNumber
B0CCW8HX5N,BELL,235.94,117.97,2,2,0,BELL MX-9 MIPS Dirt Helmet (Zone Gloss Red - 2X-Large),,4.8,1158,148.87,Style Lounge LLC (99% A3IKQ3T44O9HBU),13.23,22.33,1,196178103909,196178103909,7157456
B0BHVXBMZ9,BELL,176.76,88.38,2,2,0,BELL MX-9 MIPS Dirt Helmet (Disrupt Matte Classic Blue/Hi-Viz - 2X-Large),,4.8,1156,179.95,Extreme Supply (93% AVJRJAKBT4KAP),14.93,26.99,1,768686493171,768686493171,7144822
B0DCHHKDJ8,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Blue/White - 2X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178113915,196178113915,7163856
B0BHGYKPLN,BELL,389.85,129.95,1,3,0,Bell MX-9 MIPS Dirt Helmet (Zone Gloss Navy/Retina - 2X-Large),,4.8,1157,129.95,Powersports Monkey (94% A2EPE15NO912P),13.61,19.49,1,196178032209,196178032209,7150549
B0BHHFTJCW,BELL,431.85,143.95,2,3,0,BELL MX-9 MIPS Dirt Helmet (Spark Gloss Blue/Yellow - 2X-Large),,4.8,1158,143.95,Everything Ecom (95% AFFQR90ZENBPM),13.23,21.59,1,196178032162,196178032162,7150264
B000AAYBSW,BELL,14035.32,59.98,1,234,1,BELL Double Back Two-Bike Trunk Rack,200,4.2,521,59.97,Amazon,20.25,7.2,1,35011061672,35011061672,7122387
B01LZNHEKS,BELL,4009.09,20.99,1,191,1,"Bell Thalia Women's Bike Helmet, Emerald, Adult",300,4.5,3781,20.99,Amazon,8.76,3.15,1,35011973647,35011973647,7084265
B0DCHKDY9W,BELL,539.85,179.95,3,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Blue/Hi-Viz Yellow - Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,3,196178114141,196178114141,7163904
B0CCW6T1G2,BELL,360.06,120.02,2,3,0,BELL MX-9 MIPS Dirt Helmet (Dart Gloss Charcoal/Orange - Medium),,4.8,1155,143.95,Extreme Supply (93% AVJRJAKBT4KAP),13.61,21.59,2,196178103626,196178103626,7157383
B0CCW6M1LB,BELL,228.98,114.49,1,2,0,BELL MX-9 MIPS Dirt Helmet (Dart Gloss Purple/White - X-Large),,4.8,1157,119.95,Powersports Monkey (94% A2EPE15NO912P),13.23,17.99,2,196178103848,196178103848,7157445
B0DCHRBMSG,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Black/White - Medium),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114080,196178114080,7163893
B094X843DZ,BELL,272.52,90.84,2,3,0,BELL MX-9 MIPS Dirt Helmet (Offset Matte Black/Red - Large),,5,2,150,ROSEVILLE HONDA MOTORSPORTS (57% A2VFA2JUSRSOSU),13.61,22.5,1,768686439537,768686439537,7136308
B0DCHFKS6Z,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Blue/White - X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178113908,196178113908,7163855
B0762F9RN7,BELL,5778.3,169.95,2,34,0,BELL MX-9 MIPS Dirt Helmet (Matte Black - Large),,4.8,1159,135.96,Movatik (99% A1F1CRO6ZMXV7T),14.55,20.39,3,768686107733,768686107733,7091720
B0762HSWNC,BELL,1699.5,169.95,3,10,0,BELL MX-9 MIPS Dirt Helmet (Matte Black - 2X-Large),,4.8,1157,135.96,Movatik (99% A1F1CRO6ZMXV7T),14.93,20.39,2,768686107757,768686107757,7091722
B0DCHFJ3WG,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Orange/White - Medium),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178113984,196178113984,7163873
B0DCHR6H8C,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Black/White - X-Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.23,21.59,0,196178114103,196178114103,7163895
B0CTNS6DBG,BELL,599.85,199.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Twitch DBK 24 Black/White - Small),,4.8,1158,159.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.23,23.99,1,196178053549,196178053549,7160342
B0CCWB2WWW,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Alter Ego Matte Black/Red - X-Small),,4.8,1157,179.95,Black Hills Moto (99% A4KBP2A3U6C7U),14.55,26.99,0,196178168076,196178168076,7159512
B0DCHJ6VKS,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Blue/White - Medium),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178113885,196178113885,7163853
B0DCHG4L3W,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Breakdance Black/Orange - Medium),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114547,196178114547,7164050
B094XB3VTP,BELL,321.33,107.11,3,3,0,BELL MX-9 MIPS Dirt Helmet (Offset Matte Black/Hi-Viz Yellow - Medium),,4.8,1157,174.55,Central Florida PowerSports (92% A14WHXC2E1NFUE),13.23,26.18,1,768686439360,768686439360,7136277
B0DCHJ4D8R,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Red/White - Large),,4.8,1157,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114042,196178114042,7163884
B0DCHP997M,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Matte Nardo Gray - Large),,4.8,1159,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114257,196178114257,7163948
B0DGB5MKJN,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Matte Nardo Gray - X-Small),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),8.04,21.59,0,196178114226,196178114226,7163945
B0DCH7TKQX,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Black/White - Small),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.61,21.59,0,196178114073,196178114073,7163892
B0DCHBCW1X,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Red/White - 2X-Large),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),13.23,21.59,0,196178114066,196178114066,7163886
B0DCH8SPV4,BELL,539.85,179.95,1,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Hi-Viz Green/Purple - Large),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114196,196178114196,7163914
B0BHVY98JT,BELL,190.08,95.04,0,2,0,Bell MX-9 MIPS Dirt Helmet (Offset Matte Metallic Blue/White - 2X-Large),,4.8,1157,99.95,Powersports Monkey (94% A2EPE15NO912P),13.23,14.99,1,768686493188,768686493188,7144824
B0DCGT14BT,BELL,539.85,179.95,3,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Hi-Viz Green/Purple - Medium),,4.8,1158,143.96,Movatik (99% A1F1CRO6ZMXV7T),13.61,21.59,1,196178114189,196178114189,7163913
B0DCHBK268,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Rift Blue/White - Small),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),14.93,21.59,0,196178113878,196178113878,7163852
B0DCHP69YH,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Blue/Hi-Viz Yellow - Small),,4.8,1158,179.95,Rocky Mountain ATV/MC (95% A122T64JJB9KPU),15.69,26.99,0,196178114127,196178114127,7163902
B0DCHMC9S9,BELL,539.85,179.95,0,3,0,BELL MX-9 MIPS Dirt Helmet (Gloss Jackal Hi-Viz Green/Purple - 2X-Large),,4.8,1158,143.96,Motosport Roanoke (81% ADE9PX7T4BUXU),14.93,21.59,0,196178114219,196178114219,7163916
