Main Image,Image Count,ASIN,Page Score,Title,Brand,Est. Monthly Revenue,Trailing 12 Months,Main Category,Main Category Rank,Primary Subcategory,Primary Subcategory Rank,1 Month Growth,12 Month Growth,Opportunity Score,Est. New Seller Share,Price,Package Quantity,FBA Sellers,All Sellers,Est. Monthly Units Sold,Amazon In-Stock Rate,Rating,Ratings Count,Parent ASIN,Launch Date,UPC,Manufacturer,Part Number,Model
71V73AjAqBL.jpg,7,B08R13YRTD,9.4,"Nanit Pro Smart Baby Monitor & Wall Mount – 1080p Secure Wi-Fi Video Camera, Sensor-Free Sleep & Breathing Motion Tracker, 2-Way Audio, Sound & Motion Alerts, Night Vision, and Breathing Band - White",Nanit,807387.9,10937990.75,Baby Products,702,Smart Baby Monitors,2,-0.125,0.135,4.6,1195,225.15,1,5,13,3586,1,4.3,3498,B0DHH3S2PG,2021-01-28 00:00:00,850017851108,Nanit,N311US,N311NW
71LVgIp82wL.jpg,11,B07C2RNRCJ,9.7,Graco Tranzitions 3 in 1 Harness Booster Seat,Graco,807035.4,13976167.36,Baby Products,4332,Hook-on & Booster Seats,3,0.612,-0.246,6.6,4018,100.44,1,1,3,8035,0.934,4.7,25437,B0D6GMLSDJ,2018-04-10 00:00:00,47406134717,Newell Brands,1947464,1947464
61QtFZehTkL.jpg,2,B09NNHN8S8,6.1,Milwaukee 48-11-1852 M18 REDLITHIUM XC 5 Ah Lithium-Ion Extended Capacity Battery (2-Pack),Milwaukee,806028.3,7378072.7,Tools & Home Improvement,825,Cordless Tool Battery Packs,2,0.272,0.266,6.3,6930,116.31,2,14,32,6930,0.1,4.7,2481,,2021-01-26 00:00:00,724994291977,Milwaukee,M18 48 111850,M18 48 111850
716Qlc98JFL.jpg,6,B09X7C2GBC,9.1,"SanDisk 512GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-512G-GN6MA",SanDisk,805601.28,6845177.22,Electronics,,Micro SD Memory Cards,4,-0.136,0.074,3,9834,40.96,1,9,16,19668,1,4.8,118481,B0DPXSYX5Y,2022-06-14 00:00:00,619659189648,"Western Digital Technologies, Inc.",SDSQXAV-512G-GN6MA,SDSQXAV-512G-GN6MA
41ebSSBmuEL.jpg,15,B088NHSVJN,9,"Frameo 10.1 Inch WiFi Digital Picture Frame, 1280x800 HD IPS Touch Screen Photo Frame Electronic, 32GB Memory, Auto-Rotate, Wall Mountable, Share Photos/Videos Instantly via Frameo App from Anywhere",BIGASUO,805584.23,11374080.45,Camera & Photo,,Digital Picture Frames,1,-0.04,-0.183,7.7,6166,65.33,1,3,7,12331,0,4.5,6112,B0CKZ6WRF7,2020-05-15 00:00:00,764283630698,BIGASUO,B-102K,102K
71qmaQ2Qh0L.jpg,7,B0BLT8L937,9.3,"EGO POWER+ Electric Lawn Mower, Cordless, Includes 56V 6.0Ah Battery And 320W Charger - LM2114",EGO Power+,805346.21,1347,"Patio, Lawn & Garden",17265,Walk-Behind Lawn Mowers,36,,,7.2,1002,402.07,1,1,6,2003,0.577,4.5,1571,B0D84BWPW7,2022-11-11 00:00:00,195532100080,EGO Power+,LM2114,LM2114
71CDV8U10XL.jpg,8,B075X7TFY5,9.6,"Brother Genuine Standard Yield Toner Cartridge, TN730, Replacement Black Toner, Page Yield Up To 1,200 Pages, Amazon Dash Replenishment Cartridge,1 Pack",Brother,804960.16,7673698.34,Office Products,36,Printer Toner Cartridges,1,-0.022,0.052,6.5,2400,47.92,1,6,9,16798,1,4.7,32855,B0DHLCM8JG,2017-11-27 00:00:00,12502649267,Brother Consumables,TN730,TN730
21AnY6MiDQL.jpg,10,B09RND55QM,9.3,"EGO POWER+ String Trimmer, Battery Powered, 16"" Trimmer for Weeds and Grass with POWERLOAD, LINE IQ, Telescopic Carbon Fiber Shaft, Includes 56V 4.0Ah Battery and Charger - ST1623T",EGO Power+,804683.2,5518855.77,"Patio, Lawn & Garden",1538,String Trimmers,6,6.355,-0.532,4,1370,293.68,1,3,15,2740,1,4.5,1673,B0F38J9JMH,2022-02-01 00:00:00,692042014086,EGO,ST1623T,ST1623T
813I5uGlvSL.jpg,6,B08HHQWBBZ,8.6,"NutriFlair Premium Berberine HCL 1200mg, 120 Capsules - Plus Pure True Ceylon Cinnamon, Berberine HCI Root Supplements Pills - Immune System, Healthy Weight Management",NutriFlair,804665.36,11539152.45,Health & Household,598,Cinnamon Herbal Supplement,1,-0.009,-0.213,8.7,30526,26.36,1,1,2,30526,0,4.3,15971,,2020-09-14 00:00:00,850003901299,NutriFlair,NFH-BBR-1120,Berberine with Ceylon Cinnamon
711iOCxgfRL.jpg,7,B0DDJZW3C9,9.9,Meta Quest 3S 256GB — Get Batman: Arkham Shadow and a 3-Month Trial of Meta Quest+ Included — All-in-One Headset,Meta,804583.5,12321037.96,Video Games,146,Standalone Virtual Reality Headsets,1,-0.369,,6.2,1036,388.5,1,2,19,2071,1,4.5,4643,B0DHWJ8947,2024-09-24 00:00:00,815820025283,Meta,Quest 3S,Quest 3S
41jfh9bvF3L.jpg,6,B0CLF1DHHW,8.4,"Milwaukee 2967-20 M18 FUEL™ 1/2"" High Torque Impact Wrench w/ Friction Ring (Tool Only)",Milwaukee,803440,8278749.28,Tools & Home Improvement,1532,Power Impact Wrenches,1,0.423,0.888,6.5,2000,200.86,1,26,65,4000,0,4.8,957,,2023-10-19 00:00:00,45242601554,Milwaukee,MWK2967-20,2967-20
41cF1KqZx1L.jpg,10,B0B2PZWD81,9.2,"Seagate Expansion 20TB External Hard Drive HDD - USB 3.0, with Rescue Data Recovery Services (STKP20000400)",Seagate,803133.54,3379841.19,Electronics,,External Hard Drives,20,-0.461,,7.9,957,279.74,1,4,23,2871,0.024,4.6,265042,B0DYPJ3F34,2024-01-31 00:00:00,763649174494,Seagate,STKP20000400,STKP20000400
81ReXzyw8oL.jpg,13,B0CKYY27YP,9.4,"ZINUS 8 Inch Green Tea Memory Foam Mattress [New Version], Full, Fiberglass free, Medium Firm Feel, Zoned Pressure Relief, Certified Safe Foams & Fabric, Mattress in A Box",Zinus,802796.4,2124702.72,Home & Kitchen,62,Mattresses,1,0.673,13.37,5.2,5180,154.98,1,2,3,5180,1,4.3,161868,B0DYZ28XZV,2023-10-13 00:00:00,841550362435,Zinus,ZU-MFMA1ZZI-08F,ZU-MFMA1ZZI-08F
71rhJ0EUn1L.jpg,9,B007U54P36,9.9,"La Roche-Posay Anthelios Tinted Sunscreen SPF 40+, Broad Spectrum SPF + Antioxidants, Titanium Dioxide & Zinc Oxide Sunscreen, 4 Flexible Shades With No White Cast, Oil Free & Oxybenzone Free",La Roche-Posay,802316.32,10358043.74,Beauty & Personal Care,248,Facial Sunscreens,5,0.134,-0.04,5.6,21808,36.79,1,1,2,21808,0.991,4.5,27246,B0D63HCLBQ,2012-04-14 00:00:00,883140020899,La Roche-Posay,S06872,S06872
71TOpUlIxaL.jpg,8,B0DCSYTVDD,8.7,"HP 255 G10 Laptop for Home or Work, 16GB RAM, 1TB SSD, 15.6"" Full HD, Ryzen 3 7330U (Beat Intel i5-1135G7), HDMI, USB-C, Windows 11 Pro, Business and Fun Ready",Hp,801882.18,10124733.38,Electronics,,Traditional Laptop Computers,32,-0.077,,9,1782,449.99,1,1,2,1782,0,4.3,780,B0F195NNJY,2024-08-10 00:00:00,194850428098,Hp,,255
